,tp,bcdry,LWin,SWin,sp,dustwet,ocwet,tcc,temp,dustdry,uwind,ocdry,bcwet,rh
2024-04-23 15:00:00,2.6375055e-06,9.161e-15,907125.4,319612.5,87127.91,2.2576392e-13,2.1416202e-13,0.96655273,-5.803253,8.5792484e-14,0.781023,1.2636338e-13,3.6790015e-14,91.59618
2024-04-23 16:00:00,1.9662084e-06,2.6155674e-14,886883.8,667125.0,87096.695,4.7845656e-15,4.0957224e-15,0.9875488,-4.7046814,3.53384e-13,0.9070541,3.132266e-13,7.125398e-16,90.71927
2024-04-23 17:00:00,1.8537044e-06,6.3341734e-14,878005.7,1.05615e+06,87075.56,2.3914614e-15,7.0755807e-16,0.99243164,-3.5921326,8.637535e-13,1.2901964,7.521005e-13,1.2566042e-16,88.5463
2024-04-23 18:00:00,2.6285647e-06,9.795292e-14,888361.3,1.3941e+06,87065.67,3.076428e-13,8.390511e-14,0.9885254,-2.228485,2.239986e-12,1.106132,9.952194e-13,1.4578616e-14,82.19572
2024-04-23 19:00:00,8.311868e-06,9.684492e-14,906997.1,1.6659e+06,87053.266,1.1644019e-12,3.3972825e-13,0.9658203,-0.9962158,2.9780622e-12,0.42952877,8.877771e-13,5.9119376e-14,71.924545
2024-04-23 20:00:00,3.4332275e-05,9.995435e-14,925519.94,1.773e+06,87041.92,4.394707e-12,1.6679991e-12,0.8911133,-0.7836914,3.3777425e-12,-0.18647483,8.837849e-13,2.8732572e-13,73.08624
2024-04-23 21:00:00,6.067753e-05,1.01169676e-13,940624.5,1.76085e+06,87033.52,2.9842795e-12,1.4059864e-12,0.80126953,-0.5201111,3.6308734e-12,-0.6565317,9.19271e-13,2.2537527e-13,75.69055
2024-04-23 22:00:00,6.332397e-05,7.58571e-14,953102.94,1.6839e+06,87026.94,6.0449423e-12,3.2525094e-12,0.7614746,-0.21911621,2.7364777e-12,-1.1713054,6.879411e-13,5.315748e-13,77.00641
2024-04-23 23:00:00,4.1282176e-05,6.450692e-14,936193.4,1.6416e+06,87014.45,6.0005334e-12,3.1379348e-12,0.6191406,-0.08126831,2.3314684e-12,-1.3814697,5.753834e-13,5.2002846e-13,80.50587
2024-04-24 00:00:00,1.9007923e-05,6.428191e-14,883495.06,1.59795e+06,86996.21,2.0090598e-12,1.0196288e-12,0.4515381,0.049468994,2.1511681e-12,-1.502888,6.077361e-13,1.7363888e-13,81.59443
